name,uid,old_name,duplicate of,needs invert,original uid,category,noun,preposition,who,what,where,when,which,lens,context,examples,terminology,source row,needs review,notes,source file,last modified,last modified by,created by,legacy uid,trash,created,name history,record_id,Analysis,Analysis 2
ability to help others study remotely,recDyKx1VFcqvSVss,Ability to help others study remotely,,,,power,ability,to,,help others study remotely,,,,individual/human,,,,2,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,pxGy4vNo2NgFe0,,9/27/2022 6:24pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to help others study remotely

2022-09-27T22:24:52.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to help others study remotely",recDyKx1VFcqvSVss,,
capacity to be hosted virtually | event,recMjbU7QWmRHBZxi,Ability of a social event to be hosted virtually,,,,power,capacity,to,event,be hosted virtually,,,,social, | event,,,3,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,yi7Vaq4ytZZJjQ,,9/27/2022 6:24pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to be hosted virtually | event

2022-09-27T22:24:52.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of a social event to be hosted virtually",recMjbU7QWmRHBZxi,,
ability to adapt to remote teaching | education (instructor),recP06DKHygue7rO5,Ability of instructors to adapt to remote instruction,,,,power,ability,to,education (instructor),adapt to remote teaching,,,,individual/human, | education (instructor),,,4,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,BZ2ENhGs6wvbAD,,9/27/2022 6:24pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to adapt to remote teaching | education (instructor)

2022-09-27T22:24:52.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of instructors to adapt to remote instruction",recP06DKHygue7rO5,,
capacity to simulate normal life | online game,recmumQTI89u2prQ5,"Ability of online game to simulate living a fun, normal life",,,,power,capacity,to,online game,simulate normal life,,,,digital, | online game,,,5,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,8tiRWigl6kNbCD,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to simulate normal life | online game

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of online game to simulate living a fun, normal life",recmumQTI89u2prQ5,,
capacity to support children | family (parent) | during the COVID-19 pandemic,recTeYBYxmqZry958,Ability of parents to support child's life necessities during pandemic ,,,,power,capacity,to,family (parent),support children,,during the COVID-19 pandemic,,individual/human, | family (parent) | during the COVID-19 pandemic,,,6,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,FdUC17uCBJWTRG,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to support children | family (parent) | during the COVID-19 pandemic

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of parents to support child's life necessities during pandemic ",recTeYBYxmqZry958,,
ability to adapt to remote learning | education (learner),recG2yfd2VMMisLjh,Ability of student to adapt to remote learning,,,,power,ability,to,education (learner),adapt to remote learning,,,,individual/human, | education (learner),,,7,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,s1uggC3YoAQv5P,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to adapt to remote learning | education (learner)

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of student to adapt to remote learning",recG2yfd2VMMisLjh,,
ability to review curriculum material | education (learner),recvagsYkHavOnc5G,Ability of student to review curriculum material,,,,power,ability,to,education (learner),review curriculum material,,,,individual/human, | education (learner),,,8,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,h9ct1UPm76LWRe,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to review curriculum material | education (learner)

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of student to review curriculum material",recvagsYkHavOnc5G,,
ability to anticipate reactions | education (instructor),recaoQk1hRomTnyXM,Ability of teachers to anticipate kids' reactions to learning,,,,power,ability,to,education (instructor),anticipate reactions,,,,individual/human, | education (instructor),,,9,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,WnMl4RZAYbLiJk,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to anticipate reactions | education (instructor)

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability of teachers to anticipate kids' reactions to learning",recaoQk1hRomTnyXM,,
access to basic necessities,recGxl2naqUdaBrY3,"Ability to access basic necessities like food, water, and shelter",,,,resource,access,to,,basic necessities,,,,social,,"food, water, and shelter",,10,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,swh3qKy6PsZbKB,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to basic necessities

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to access basic necessities like food, water, and shelter",recGxl2naqUdaBrY3,,
access to online work materials | from home,recB9saphzfhcmpBs,Ability to access online work materials from home,,,,resource,access,to,,online work materials,from home,,,digital, | from home,,,11,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,n8obsRHrTuK9n0,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to online work materials | from home

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to access online work materials from home",recB9saphzfhcmpBs,,
