,"Definition
How do you define this variable?","Source
Paste the link where you based your definition of the variable (see Lenses tab for definition of each Lens)","Lens
What lens is this variable related to?",,
Label,Description,Reference,Type,,
Ability of instructors to adapt to remote instruction,,,,,
"Ability of online game to simulate living a fun, normal life",,,,,
Ability of parents to support child's life necessities during pandemic,,,,,
Ability of student to adapt to remote learning,,,,,
Ability of student to review curriculum material,,,,,
Ability of teachers to anticipate kids' reactions to learning,,,,,
"Ability to access basic necessities like food, water, and shelter",,,,,
Ability to access online work materials from home,,,,,
Ability to accompany family members in hospitals,,,,,
Ability to adequately learn curriculum,,,,,
Ability to afford health insurance,,,,,
Ability to afford treatment,,,,,
Ability to afford work-related equipment needed to work from home,,,,,
Ability to attain high grades,,,,,
Ability to avoid uncomfortable topics,,,,,
Ability to be attentive in learning,,,,,
Ability to be creative,,,,,
Ability to break into smaller group conversations,,,,,
Ability to caregive for others,,,,,
"Ability to celebrate life events, practice rituals, and enjoy festivities",,,,,
Ability to coach parents on how to respond to kids' reactions while learning,,,,,
Ability to communicate effectively over online messaging tools,,,,,
Ability to complete assignments independently,,,,,
Ability to complete educational degree,,,,,
Ability to concentrate,,,,,
Ability to coordinate schedules with coworkers,,,,,
Ability to delegate work effectively,,,,,
Ability to do acts of service for loved ones,,,,,
Ability to do home renovations during the week,,,,,
Ability to earn a livable wage during pandemic,,,,,
Ability to eat dinner late,,,,,
Ability to exercise at home,,,,,
Ability to find employment during pandemic,,,,,
Ability to help others study remotely,,,,,
Ability to join video calls,,,,,
Ability to maintain privacy,,,,,
Ability to participate in indoor activities,,,,,
Ability to participate in indoor social events,,,,,
Ability to participate in outdoor activities,,,,,
Ability to participate in outdoor events,,,,,
Ability to participate in outdoor social events,,,,,
Ability to read facial expressions of others,,,,,
Ability to recognize TB symptoms,,,,,
Ability to run errands independently during quarantine,,,,,
Ability to sleep,,,,,
Ability to sleep in the morning,,,,,
Ability to talk freely,,,,,
Ability to work,,,,,
Ability to work during pandemic,,,,,
Ability to work from home,,,,,
Acceptance of DOTS,,,,,
Access to community-based treatment programs,,,,,
Access to data on patient preferences,,,,,
Access to data on private healthcare sector dynamics,,,,,
Access to data on rationale for engaging all healthcare providers,,,,,
Access to easy-to-prepare foods,,,,,
Access to facilitated linkage to care,,,,,
Access to facility-based stigma-reduction activities,,,,,
Access to financial and non-financial incentives and enablers,,,,,
Access to fitness equipment,,,,,
Access to food and transportation assistance,,,,,
Access to fresh air,,,,,
Access to government financial assistance,,,,,
Access to Health Services,,,,,
Access to masks,,,,,
Access to nutritional support from government,,,,,
Access to peer assistance in navigating healthcare,,,,,
Access to psychosocial support,,,,,
Access to recreational activities at home,,,,,
Access to sophisticated testing technologies by private healthcare providers,,,,,
Access to TB data,,,,,
Access to TB diagnosis and/or treatment from public healthcare provider,,,,,
Access to transportation options,,,,,
Accuracy of work productivity,,,,,
Adherence to standard prescription guidelines,,,,,
Adjustment period to working in the office,,,,,
Administrative capacity of informal private healthcare providers,,,,,
Adoption of context-sensitive systems approach to data analysis,,,,,
Adoption of data-for-reporting culture,,,,,
Adoption of digital adherence monitoring,,,,,
Adoption of digital technologies,,,,,
Adoption of direct cash-transfer schemes,,,,,
Adoption of family-member observed DOTS,,,,,
Adoption of financial coping strategies,,,,,
Adoption of modern data systems,,,,,
Adoption of new payment mechanisms,,,,,
Adoption of new sanitation habits,,,,,
Affordability of cost of living,,,,,
Age of patient,,,,,
Amount of debt,,,,,
Amount of disturbance caused to virtual event,,,,,
Amount of free time,,,,,
Amount of friends playing an online game,,,,,
Amount of input sought from TB patients about their care experiences,,,,,
Amount of junk food consumed,,,,,
Amount of money spent on pet care,,,,,
Amount of money spent on utilties,,,,,
Amount of noise created,,,,,
Amount of outdoor seating available,,,,,
Amount of personal protection equipment brought when going out,,,,,
Amount of personal protection equipment sourced from loved ones from other cities,,,,,
Amount of pollution,,,,,
Amount of sanitary packaging included in delivery food,,,,,
Amount of social pressure to play an online game,,,,,
Amount of social pressure to succeed at work or school,,,,,
Amount of time exercising,,,,,
Amount of time people spend in home confinement,,,,,
Amount of time spent assisting coworkers,,,,,
Amount of time spent awake,,,,,
Amount of time spent caregiving for others,,,,,
Amount of time spent commuting,,,,,
Amount of time spent cooking,,,,,
Amount of time spent doing activities at night,,,,,
Amount of time spent in rush hour,,,,,
Amount of time spent on pet care,,,,,
Amount of time spent on phone,,,,,
Amount of time spent on planning event,,,,,
Amount of time spent on recreational activities,,,,,
Amount of time spent playing computer games,,,,,
Amount of time spent preparing food for people confined at the same home,,,,,
Amount of time spent preparing technological requirements for remote learning,,,,,
Amount of time spent preparing technological requirements for virtual events,,,,,
Amount of time spent preparing technological requirements for working from home,,,,,
Amount of time spent remote learning,,,,,
Amount of time spent searching for new recipes,,,,,
Amount of time spent socializing with group members,,,,,
Amount of time spent talking with family online,,,,,
Amount of time spent talking with friends online,,,,,
Amount of time spent thinking about the pandemic,,,,,
Amount of time spent to prepare for cooking,,,,,
Amount of time spent using online messaging tools to communicate,,,,,
Amount of time spent watching TV,,,,,
Amount of time spent watching YouTube tutorials,,,,,
Amount of time spent with a pet at home,,,,,
Amount of time spent with family members at home,,,,,
Amount of time spent working,,,,,
Amount of time to wait for an online response,,,,,
Amount of time working from home,,,,,
Amount of times a teacher looks at chatbox during zoom instruction,,,,,
Amount of waste produced,,,,,
Amount of work-related equipment needed to work from home,,,,,
Annual household income,,,,,
